Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N3100-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo (SP);Mai;Nov;Nov;"SFI";"00058.064879/2022-76";"OS 1786/2022";"A"
N3101-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBGR";São Paulo (SP);Nov;Dez;Dez;"SFI";"00058.064875/2022-98";"OS 1789/2022";"A"
N3102-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo (SP);Nov;Nov;Nov;"SFI";"00058.064884/2022-89";"OS 1788/2022";"A"
N3103-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo (SP);Nov;Dez;Dez;"SFI";"00058.064883/2022-34";"OS 1791/2022";"A"
N3104-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo (SP);Nov;Nov;Nov;"SFI";"00058.064886/2022-78";"OS 1783/2022";"A"
N3105-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo (SP);Ago;Nov;Nov;"SFI";"00058.064887/2022-12";"OS 1790/2022";"A"
N3106-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo (SP);Set;Nov;Nov;"SFI";"00058.064889/2022-10";"OS 1787/2022";"A"
N3107-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Operadores RBAC 103";São Vicente - SP;Set;Out;Out;"SFI";"00058.053668/2022-16";"PCDP 3652/22, 3653/22, OS 1472/2022";"A"
N3108-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Operadores RBAC 137";Paracatu  (MG);Out;Nov;Nov;"Atividade descentralizada";"00058.063335/2022-97";"PCDP 4445/22, 4361/22, OS 1752/2022";"A"
N3109-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBBI";CURITIBA-PR;Out;Dez;Dez;"SFI";"00058.064911/2022-13";"Os 1950/22";"A"
N3110-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"A definir";A definir;Nov;;;"";"";"";"B"
N3111-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"A definir";A definir;Dez;;;"";"";"";"B"
N3112-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Fev;;;"";"";"";"B"
N3113-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Mar;;;"";"";"";"B"
N3114-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Abr;;;"";"";"";"B"
N3115-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3116-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"RIMA - Rio Madeira Aerotáxi Ltda.";Porto Velho - RO;Mai;Mai;Mai;"moises.bezerra";"00058.027362/2022-04";"PCDP 1640/22, 1641/22, 1642/22, OS 725/2022";"A"
